Epoch: [0][1560/5052], lr: 0.00100	Time 2.110 (2.160)	Data 1.636 (1.665)	Loss 0.9650 (1.4947)	Prec@1 70.833 (57.717)	Prec@5 95.833 (84.863)
Epoch: [0][1580/5052], lr: 0.00100	Time 2.268 (2.161)	Data 1.770 (1.665)	Loss 1.9772 (1.4912)	Prec@1 50.000 (57.777)	Prec@5 79.167 (84.933)
Epoch: [0][1600/5052], lr: 0.00100	Time 2.092 (2.161)	Data 1.619 (1.665)	Loss 1.1838 (1.4877)	Prec@1 58.333 (57.857)	Prec@5 95.833 (84.989)
Epoch: [0][1620/5052], lr: 0.00100	Time 2.079 (2.160)	Data 1.605 (1.665)	Loss 1.1278 (1.4854)	Prec@1 70.833 (57.912)	Prec@5 91.667 (85.009)
Epoch: [0][1640/5052], lr: 0.00100	Time 1.975 (2.161)	Data 1.501 (1.665)	Loss 1.8750 (1.4823)	Prec@1 54.167 (57.985)	Prec@5 83.333 (85.070)
Epoch: [0][1660/5052], lr: 0.00100	Time 2.164 (2.161)	Data 1.691 (1.665)	Loss 1.0701 (1.4793)	Prec@1 62.500 (58.045)	Prec@5 91.667 (85.132)
Epoch: [0][1680/5052], lr: 0.00100	Time 2.156 (2.160)	Data 1.659 (1.665)	Loss 1.3000 (1.4773)	Prec@1 62.500 (58.083)	Prec@5 91.667 (85.145)
Epoch: [0][1700/5052], lr: 0.00100	Time 2.149 (2.160)	Data 1.654 (1.665)	Loss 1.0407 (1.4741)	Prec@1 75.000 (58.145)	Prec@5 95.833 (85.200)
Epoch: [0][1720/5052], lr: 0.00100	Time 2.192 (2.160)	Data 1.691 (1.665)	Loss 1.5387 (1.4724)	Prec@1 50.000 (58.161)	Prec@5 87.500 (85.227)
Epoch: [0][1740/5052], lr: 0.00100	Time 2.071 (2.160)	Data 1.598 (1.665)	Loss 0.9803 (1.4697)	Prec@1 54.167 (58.190)	Prec@5 95.833 (85.277)
Epoch: [0][1760/5052], lr: 0.00100	Time 2.186 (2.161)	Data 1.681 (1.666)	Loss 1.2471 (1.4665)	Prec@1 62.500 (58.239)	Prec@5 91.667 (85.330)
Epoch: [0][1780/5052], lr: 0.00100	Time 1.920 (2.160)	Data 1.447 (1.666)	Loss 0.6324 (1.4630)	Prec@1 83.333 (58.317)	Prec@5 100.000 (85.408)
Epoch: [0][1800/5052], lr: 0.00100	Time 2.225 (2.161)	Data 1.730 (1.666)	Loss 1.5919 (1.4611)	Prec@1 66.667 (58.361)	Prec@5 75.000 (85.455)
Epoch: [0][1820/5052], lr: 0.00100	Time 2.201 (2.161)	Data 1.711 (1.666)	Loss 2.1448 (1.4582)	Prec@1 37.500 (58.416)	Prec@5 70.833 (85.489)
Epoch: [0][1840/5052], lr: 0.00100	Time 2.048 (2.161)	Data 1.574 (1.666)	Loss 1.2883 (1.4555)	Prec@1 62.500 (58.483)	Prec@5 91.667 (85.531)
Epoch: [0][1860/5052], lr: 0.00100	Time 2.241 (2.162)	Data 1.750 (1.667)	Loss 0.7452 (1.4538)	Prec@1 75.000 (58.510)	Prec@5 95.833 (85.586)
Epoch: [0][1880/5052], lr: 0.00100	Time 2.180 (2.162)	Data 1.680 (1.667)	Loss 1.2113 (1.4509)	Prec@1 70.833 (58.599)	Prec@5 87.500 (85.644)
Epoch: [0][1900/5052], lr: 0.00100	Time 2.222 (2.162)	Data 1.730 (1.667)	Loss 1.3879 (1.4494)	Prec@1 62.500 (58.631)	Prec@5 87.500 (85.694)
Epoch: [0][1920/5052], lr: 0.00100	Time 2.069 (2.162)	Data 1.596 (1.668)	Loss 1.0402 (1.4453)	Prec@1 66.667 (58.737)	Prec@5 87.500 (85.763)
Epoch: [0][1940/5052], lr: 0.00100	Time 1.944 (2.163)	Data 1.470 (1.668)	Loss 0.8397 (1.4419)	Prec@1 75.000 (58.803)	Prec@5 91.667 (85.817)
Epoch: [0][1960/5052], lr: 0.00100	Time 2.259 (2.163)	Data 1.766 (1.668)	Loss 1.3661 (1.4399)	Prec@1 54.167 (58.860)	Prec@5 95.833 (85.849)
Epoch: [0][1980/5052], lr: 0.00100	Time 2.062 (2.163)	Data 1.588 (1.668)	Loss 1.4084 (1.4387)	Prec@1 58.333 (58.899)	Prec@5 87.500 (85.880)
Epoch: [0][2000/5052], lr: 0.00100	Time 2.123 (2.163)	Data 1.650 (1.668)	Loss 1.6348 (1.4375)	Prec@1 54.167 (58.935)	Prec@5 79.167 (85.903)
Epoch: [0][2020/5052], lr: 0.00100	Time 2.232 (2.163)	Data 1.734 (1.669)	Loss 1.3571 (1.4355)	Prec@1 54.167 (58.977)	Prec@5 87.500 (85.970)
Epoch: [0][2040/5052], lr: 0.00100	Time 2.224 (2.163)	Data 1.720 (1.669)	Loss 1.1851 (1.4331)	Prec@1 58.333 (59.009)	Prec@5 91.667 (86.002)
Epoch: [0][2060/5052], lr: 0.00100	Time 2.175 (2.164)	Data 1.673 (1.669)	Loss 0.9729 (1.4308)	Prec@1 75.000 (59.063)	Prec@5 95.833 (86.050)
Epoch: [0][2080/5052], lr: 0.00100	Time 2.180 (2.164)	Data 1.686 (1.670)	Loss 1.6986 (1.4277)	Prec@1 58.333 (59.134)	Prec@5 87.500 (86.106)
Epoch: [0][2100/5052], lr: 0.00100	Time 2.107 (2.164)	Data 1.634 (1.670)	Loss 1.3877 (1.4250)	Prec@1 58.333 (59.194)	Prec@5 75.000 (86.155)
Epoch: [0][2120/5052], lr: 0.00100	Time 2.198 (2.164)	Data 1.696 (1.670)	Loss 0.9382 (1.4228)	Prec@1 70.833 (59.268)	Prec@5 91.667 (86.196)
Epoch: [0][2140/5052], lr: 0.00100	Time 2.261 (2.164)	Data 1.763 (1.670)	Loss 1.4300 (1.4199)	Prec@1 54.167 (59.328)	Prec@5 83.333 (86.254)
Epoch: [0][2160/5052], lr: 0.00100	Time 2.259 (2.165)	Data 1.763 (1.670)	Loss 1.1395 (1.4175)	Prec@1 62.500 (59.355)	Prec@5 91.667 (86.310)
Epoch: [0][2180/5052], lr: 0.00100	Time 2.090 (2.165)	Data 1.617 (1.670)	Loss 1.1744 (1.4150)	Prec@1 66.667 (59.397)	Prec@5 91.667 (86.352)
Epoch: [0][2200/5052], lr: 0.00100	Time 2.309 (2.165)	Data 1.809 (1.671)	Loss 1.3019 (1.4141)	Prec@1 66.667 (59.405)	Prec@5 91.667 (86.370)
Epoch: [0][2220/5052], lr: 0.00100	Time 2.227 (2.165)	Data 1.724 (1.671)	Loss 1.7191 (1.4128)	Prec@1 54.167 (59.431)	Prec@5 83.333 (86.408)
Epoch: [0][2240/5052], lr: 0.00100	Time 2.051 (2.166)	Data 1.577 (1.671)	Loss 1.3645 (1.4101)	Prec@1 62.500 (59.503)	Prec@5 87.500 (86.459)
Epoch: [0][2260/5052], lr: 0.00100	Time 2.149 (2.166)	Data 1.647 (1.671)	Loss 0.9609 (1.4075)	Prec@1 66.667 (59.574)	Prec@5 95.833 (86.507)
Epoch: [0][2280/5052], lr: 0.00100	Time 2.112 (2.166)	Data 1.608 (1.671)	Loss 1.2630 (1.4060)	Prec@1 70.833 (59.605)	Prec@5 95.833 (86.523)
Epoch: [0][2300/5052], lr: 0.00100	Time 2.409 (2.166)	Data 1.901 (1.672)	Loss 0.6013 (1.4037)	Prec@1 91.667 (59.659)	Prec@5 95.833 (86.560)
Epoch: [0][2320/5052], lr: 0.00100	Time 2.202 (2.166)	Data 1.699 (1.672)	Loss 0.9939 (1.4011)	Prec@1 70.833 (59.717)	Prec@5 91.667 (86.597)
Epoch: [0][2340/5052], lr: 0.00100	Time 2.087 (2.166)	Data 1.613 (1.672)	Loss 1.6300 (1.3990)	Prec@1 58.333 (59.763)	Prec@5 79.167 (86.624)
Epoch: [0][2360/5052], lr: 0.00100	Time 2.210 (2.166)	Data 1.704 (1.672)	Loss 1.1774 (1.3966)	Prec@1 62.500 (59.816)	Prec@5 91.667 (86.660)
Epoch: [0][2380/5052], lr: 0.00100	Time 2.228 (2.167)	Data 1.737 (1.672)	Loss 1.1673 (1.3954)	Prec@1 62.500 (59.838)	Prec@5 91.667 (86.683)
Epoch: [0][2400/5052], lr: 0.00100	Time 2.007 (2.167)	Data 1.534 (1.673)	Loss 0.8808 (1.3932)	Prec@1 75.000 (59.876)	Prec@5 95.833 (86.724)
Epoch: [0][2420/5052], lr: 0.00100	Time 2.113 (2.167)	Data 1.610 (1.672)	Loss 1.5742 (1.3914)	Prec@1 50.000 (59.906)	Prec@5 87.500 (86.762)
Epoch: [0][2440/5052], lr: 0.00100	Time 2.129 (2.167)	Data 1.637 (1.673)	Loss 0.7995 (1.3883)	Prec@1 66.667 (59.955)	Prec@5 95.833 (86.822)
Epoch: [0][2460/5052], lr: 0.00100	Time 1.954 (2.167)	Data 1.480 (1.673)	Loss 1.6302 (1.3867)	Prec@1 50.000 (59.994)	Prec@5 75.000 (86.846)
Epoch: [0][2480/5052], lr: 0.00100	Time 2.263 (2.168)	Data 1.772 (1.673)	Loss 1.5827 (1.3848)	Prec@1 45.833 (60.038)	Prec@5 91.667 (86.884)
Epoch: [0][2500/5052], lr: 0.00100	Time 2.182 (2.167)	Data 1.693 (1.673)	Loss 0.7963 (1.3832)	Prec@1 70.833 (60.066)	Prec@5 91.667 (86.904)
Epoch: [0][2520/5052], lr: 0.00100	Time 2.377 (2.168)	Data 1.879 (1.673)	Loss 1.2055 (1.3821)	Prec@1 62.500 (60.097)	Prec@5 95.833 (86.933)
Epoch: [0][2540/5052], lr: 0.00100	Time 2.233 (2.168)	Data 1.733 (1.674)	Loss 0.6762 (1.3801)	Prec@1 79.167 (60.142)	Prec@5 100.000 (86.974)
Epoch: [0][2560/5052], lr: 0.00100	Time 2.297 (2.168)	Data 1.789 (1.674)	Loss 1.5599 (1.3785)	Prec@1 58.333 (60.165)	Prec@5 79.167 (87.010)
Epoch: [0][2580/5052], lr: 0.00100	Time 2.035 (2.168)	Data 1.561 (1.674)	Loss 1.6932 (1.3768)	Prec@1 62.500 (60.191)	Prec@5 83.333 (87.045)
