Epoch: [0][1700/3789], lr: 0.00100	Time 3.953 (4.331)	Data 3.478 (3.836)	Loss 1.5714 (1.4427)	Prec@1 53.125 (58.738)	Prec@5 90.625 (85.905)
Epoch: [0][1720/3789], lr: 0.00100	Time 4.212 (4.329)	Data 3.730 (3.834)	Loss 0.9781 (1.4390)	Prec@1 65.625 (58.812)	Prec@5 90.625 (85.975)
Epoch: [0][1740/3789], lr: 0.00100	Time 7.325 (4.330)	Data 6.800 (3.835)	Loss 1.3677 (1.4355)	Prec@1 62.500 (58.907)	Prec@5 93.750 (86.028)
Epoch: [0][1760/3789], lr: 0.00100	Time 4.205 (4.328)	Data 3.731 (3.834)	Loss 1.2511 (1.4331)	Prec@1 56.250 (58.954)	Prec@5 93.750 (86.079)
Epoch: [0][1780/3789], lr: 0.00100	Time 4.152 (4.328)	Data 3.678 (3.833)	Loss 1.0868 (1.4302)	Prec@1 68.750 (59.014)	Prec@5 90.625 (86.133)
Epoch: [0][1800/3789], lr: 0.00100	Time 4.233 (4.328)	Data 3.751 (3.834)	Loss 0.8040 (1.4285)	Prec@1 75.000 (59.044)	Prec@5 96.875 (86.150)
Epoch: [0][1820/3789], lr: 0.00100	Time 3.768 (4.327)	Data 3.290 (3.833)	Loss 0.9618 (1.4261)	Prec@1 78.125 (59.112)	Prec@5 93.750 (86.187)
Epoch: [0][1840/3789], lr: 0.00100	Time 6.424 (4.327)	Data 5.932 (3.833)	Loss 1.3748 (1.4242)	Prec@1 59.375 (59.144)	Prec@5 84.375 (86.225)
Epoch: [0][1860/3789], lr: 0.00100	Time 4.090 (4.327)	Data 3.585 (3.833)	Loss 1.4013 (1.4213)	Prec@1 65.625 (59.192)	Prec@5 87.500 (86.294)
Epoch: [0][1880/3789], lr: 0.00100	Time 6.730 (4.328)	Data 6.233 (3.834)	Loss 1.0263 (1.4187)	Prec@1 62.500 (59.242)	Prec@5 93.750 (86.340)
Epoch: [0][1900/3789], lr: 0.00100	Time 3.983 (4.327)	Data 3.493 (3.833)	Loss 1.4210 (1.4157)	Prec@1 59.375 (59.309)	Prec@5 81.250 (86.387)
Epoch: [0][1920/3789], lr: 0.00100	Time 4.648 (4.327)	Data 4.173 (3.833)	Loss 1.0862 (1.4134)	Prec@1 62.500 (59.355)	Prec@5 96.875 (86.418)
Epoch: [0][1940/3789], lr: 0.00100	Time 4.030 (4.327)	Data 3.548 (3.833)	Loss 0.6870 (1.4096)	Prec@1 78.125 (59.439)	Prec@5 96.875 (86.484)
Epoch: [0][1960/3789], lr: 0.00100	Time 4.061 (4.327)	Data 3.586 (3.833)	Loss 1.6698 (1.4080)	Prec@1 50.000 (59.466)	Prec@5 81.250 (86.512)
Epoch: [0][1980/3789], lr: 0.00100	Time 4.025 (4.328)	Data 3.516 (3.834)	Loss 1.1747 (1.4060)	Prec@1 56.250 (59.530)	Prec@5 93.750 (86.549)
Epoch: [0][2000/3789], lr: 0.00100	Time 3.891 (4.327)	Data 3.403 (3.833)	Loss 1.5386 (1.4044)	Prec@1 59.375 (59.559)	Prec@5 81.250 (86.574)
Epoch: [0][2020/3789], lr: 0.00100	Time 3.897 (4.329)	Data 3.429 (3.836)	Loss 1.2987 (1.4013)	Prec@1 59.375 (59.650)	Prec@5 87.500 (86.629)
