Epoch: [0][1760/3789], lr: 0.00100	Time 4.347 (4.361)	Data 3.559 (3.578)	Loss 1.0359 (1.2068)	Prec@1 59.375 (63.387)	Prec@5 90.625 (90.345)
Epoch: [0][1780/3789], lr: 0.00100	Time 4.492 (4.362)	Data 3.714 (3.579)	Loss 1.0582 (1.2032)	Prec@1 65.625 (63.469)	Prec@5 100.000 (90.399)
Epoch: [0][1800/3789], lr: 0.00100	Time 3.929 (4.361)	Data 3.161 (3.578)	Loss 0.8427 (1.1991)	Prec@1 71.875 (63.579)	Prec@5 93.750 (90.453)
Epoch: [0][1820/3789], lr: 0.00100	Time 4.405 (4.360)	Data 3.619 (3.578)	Loss 1.3800 (1.1959)	Prec@1 53.125 (63.653)	Prec@5 84.375 (90.507)
Epoch: [0][1840/3789], lr: 0.00100	Time 4.226 (4.359)	Data 3.452 (3.577)	Loss 1.3032 (1.1931)	Prec@1 59.375 (63.726)	Prec@5 90.625 (90.527)
Epoch: [0][1860/3789], lr: 0.00100	Time 4.268 (4.358)	Data 3.489 (3.576)	Loss 0.7827 (1.1911)	Prec@1 71.875 (63.776)	Prec@5 100.000 (90.565)
Epoch: [0][1880/3789], lr: 0.00100	Time 4.515 (4.359)	Data 3.746 (3.577)	Loss 1.1833 (1.1888)	Prec@1 68.750 (63.829)	Prec@5 87.500 (90.602)
Epoch: [0][1900/3789], lr: 0.00100	Time 4.106 (4.359)	Data 3.350 (3.577)	Loss 0.7598 (1.1865)	Prec@1 71.875 (63.873)	Prec@5 90.625 (90.643)
Epoch: [0][1920/3789], lr: 0.00100	Time 4.256 (4.359)	Data 3.498 (3.577)	Loss 0.8972 (1.1840)	Prec@1 75.000 (63.951)	Prec@5 93.750 (90.684)
Epoch: [0][1940/3789], lr: 0.00100	Time 4.552 (4.359)	Data 3.772 (3.577)	Loss 0.7748 (1.1811)	Prec@1 81.250 (64.005)	Prec@5 100.000 (90.744)
Epoch: [0][1960/3789], lr: 0.00100	Time 4.399 (4.359)	Data 3.628 (3.577)	Loss 1.1946 (1.1791)	Prec@1 59.375 (64.031)	Prec@5 90.625 (90.773)
Epoch: [0][1980/3789], lr: 0.00100	Time 4.139 (4.359)	Data 3.363 (3.577)	Loss 0.9216 (1.1771)	Prec@1 68.750 (64.087)	Prec@5 93.750 (90.797)
Epoch: [0][2000/3789], lr: 0.00100	Time 4.074 (4.360)	Data 3.309 (3.578)	Loss 1.1997 (1.1746)	Prec@1 62.500 (64.146)	Prec@5 96.875 (90.842)
Epoch: [0][2020/3789], lr: 0.00100	Time 3.903 (4.360)	Data 3.139 (3.578)	Loss 0.7389 (1.1718)	Prec@1 71.875 (64.199)	Prec@5 96.875 (90.888)
Epoch: [0][2040/3789], lr: 0.00100	Time 4.846 (4.360)	Data 4.053 (3.578)	Loss 0.6674 (1.1697)	Prec@1 81.250 (64.253)	Prec@5 96.875 (90.917)
Epoch: [0][2060/3789], lr: 0.00100	Time 4.187 (4.360)	Data 3.415 (3.579)	Loss 1.2359 (1.1675)	Prec@1 56.250 (64.285)	Prec@5 90.625 (90.954)
Epoch: [0][2080/3789], lr: 0.00100	Time 4.292 (4.361)	Data 3.538 (3.579)	Loss 1.0319 (1.1650)	Prec@1 68.750 (64.356)	Prec@5 93.750 (90.987)
Epoch: [0][2100/3789], lr: 0.00100	Time 4.333 (4.362)	Data 3.580 (3.580)	Loss 0.7264 (1.1619)	Prec@1 75.000 (64.437)	Prec@5 93.750 (91.033)
Epoch: [0][2120/3789], lr: 0.00100	Time 4.196 (4.362)	Data 3.431 (3.580)	Loss 0.9107 (1.1595)	Prec@1 65.625 (64.505)	Prec@5 90.625 (91.060)
Epoch: [0][2140/3789], lr: 0.00100	Time 4.770 (4.360)	Data 3.897 (3.579)	Loss 0.8828 (1.1576)	Prec@1 81.250 (64.546)	Prec@5 96.875 (91.092)
Epoch: [0][2160/3789], lr: 0.00100	Time 3.902 (4.360)	Data 3.149 (3.579)	Loss 1.1662 (1.1565)	Prec@1 62.500 (64.568)	Prec@5 90.625 (91.111)
Epoch: [0][2180/3789], lr: 0.00100	Time 4.368 (4.360)	Data 3.571 (3.579)	Loss 1.2133 (1.1542)	Prec@1 68.750 (64.618)	Prec@5 90.625 (91.151)
Epoch: [0][2200/3789], lr: 0.00100	Time 4.175 (4.360)	Data 3.373 (3.579)	Loss 0.7987 (1.1521)	Prec@1 71.875 (64.661)	Prec@5 96.875 (91.177)
Epoch: [0][2220/3789], lr: 0.00100	Time 4.333 (4.360)	Data 3.583 (3.578)	Loss 1.2523 (1.1505)	Prec@1 56.250 (64.691)	Prec@5 90.625 (91.198)
Epoch: [0][2240/3789], lr: 0.00100	Time 4.335 (4.358)	Data 3.575 (3.577)	Loss 1.1726 (1.1476)	Prec@1 68.750 (64.770)	Prec@5 90.625 (91.243)
Epoch: [0][2260/3789], lr: 0.00100	Time 4.025 (4.359)	Data 3.238 (3.577)	Loss 0.8395 (1.1457)	Prec@1 75.000 (64.808)	Prec@5 93.750 (91.269)
Epoch: [0][2280/3789], lr: 0.00100	Time 4.548 (4.359)	Data 3.763 (3.577)	Loss 0.7652 (1.1432)	Prec@1 75.000 (64.866)	Prec@5 100.000 (91.311)
Epoch: [0][2300/3789], lr: 0.00100	Time 4.422 (4.359)	Data 3.652 (3.578)	Loss 0.9224 (1.1408)	Prec@1 65.625 (64.907)	Prec@5 96.875 (91.345)
